Site,URL,Title,Author,Date,Word Count,Reading Time,Images Count,Links Count
https://www.cnn.com/politics,https://www.cnn.com/2025/09/28/politics/american-man-detained-afghanistan-released,American man detained in Afghanistan has been released,Alireza Hajihosseini,2025-09-28T18:52:47.859Z,483,2,1,2
https://www.cnn.com/politics,https://www.cnn.com/2025/09/28/politics/trump-plans-to-attend-gathering-of-senior-military-officials-in-virginia-next-week,Trump plans to attend gathering of senior military officials in Virginia this week,Alayna Treene,2025-09-28T18:46:32.298Z,452,2,1,3
https://www.nbcnews.com/politics,https://www.nbcnews.com/news/weather,Weather,,,0,1,31,116
https://www.nbcnews.com/politics,https://www.nbcnews.com/news/nbc-news-now-live-audio-listen-live-news-audio-day-rcna70163,NBC News NOW Live Audio,,2023-02-16T17:34:25.330Z,56,1,0,6
https://www.npr.org/sections/politics,https://www.npr.org/sections/news/,News,,"September 28, 2025 •",86,1,1,2
https://www.usatoday.com/politics,https://www.usatoday.com/news/nation/,U.S. News,,,0,1,5,128
https://www.usatoday.com/politics,https://www.usatoday.com/news/politics/,Politics,,,0,1,2,127
https://www.usatoday.com/politics,https://www.usatoday.com/news/from-the-archives/,From the Archives,,,0,1,2,113
https://www.yahoo.com/news/politics,https://www.yahoo.com/news/,Yahoo News,,,0,1,17,393
https://www.yahoo.com/news/politics,https://www.yahoo.com/news/us/,U.S.,,,14,1,2,1
https://www.yahoo.com/news/politics,https://www.yahoo.com/news/politics/,Politics,,,13,1,2,1
https://www.bbc.com/news/politics,https://www.bbc.com/news/topics/c2vdnvdg6xxt,NewsNews,,,829,4,24,25
https://www.bbc.com/news/politics,https://www.bbc.com/news/war-in-ukraine,NewsNews,,,843,4,25,26
https://www.bbc.com/news/politics,https://www.bbc.com/news/us-canada,NewsNews,,,1031,5,27,26
https://www.csmonitor.com/politics,https://www.csmonitor.com/USA/Politics/2025/0926/comey-indictment-trump-weaponization,"With Comey indictment, Trump shatters norms of US justice system",ByLinda FeldmannWashington Bureau Chief@linda_feldmann,"September 27, 2025",1632,8,9,29
https://www.csmonitor.com/politics,https://www.csmonitor.com/World/Asia-South-Central/2025/0926/bhutan-happiness-rich-experiment,"Seeking growth, Buddhist Bhutan experiments with ‘mindful capitalism’",BySushmita PathakContributor@sushmitza,"September 27, 2025",1495,7,9,16
https://www.csmonitor.com/politics,https://www.csmonitor.com/World/Europe/2025/0928/france-clichy-bouna-zyed-police-race-immigrant,"Two boys died after they ran from police. 20 years later, this Paris suburb is still healing.",ByColette DavidsonSpecial correspondent@kolet_ink,"September 27, 2025",4022,20,18,18
https://www.forbes.com/politics,https://www.forbes.com/sites/forbesstaff/article/tips-and-confidential-sources/,Tips And Confidential Sources,,,587,2,0,8
https://www.forbes.com/politics,https://www.forbes.com/sites/forbesvideo/article/innovation-rules/,Innovation Rules,,,60,1,0,0
https://www.forbes.com/politics,https://www.forbes.com/sites/forbes-personal-shopper/article/nordstrom-promo-codes/,"The Best Nordstrom Promo Codes And Deals: Up To 80% Off Hoka, Barbour And More",,"Sep 24, 2025, 07:07pm EDT",802,4,3,25
https://www.thehill.com,https://www.thehill.com/news/,Just In,,,0,1,0,0
https://www.theepochtimes.com/politics,https://www.theepochtimes.com/article/exclusive-eric-trump-recounts-relentless-attacks-on-father-family-5920983,"Exclusive: Eric Trump Recounts Relentless Attacks on Father, Family",,2025-09-27,0,1,15,22
https://www.theepochtimes.com/politics,https://www.theepochtimes.com/article/exclusive-eric-trump-recounts-relentless-attacks-on-father-family-5920983?cmt=1,"Exclusive: Eric Trump Recounts Relentless Attacks on Father, Family",,2025-09-27,0,1,15,22
https://www.theepochtimes.com/politics,https://www.theepochtimes.com/article/how-social-media-is-warping-peoples-relationship-with-violence-5920280,How Social Media Is Warping People’s Relationship With Violence,,2025-09-26,115,1,1,9
https://www.realclearpolitics.com,https://www.msnbc.com/news/news-analysis/democrats-shutdown-trump-rescissions-spending-rcna233554,Republicans guaranteed a shutdown this fall when they sided with Trump,,2025-09-27T10:00:41.000Z,865,4,1,7
https://www.realclearpolitics.com,https://www.msn.com/en-us/news/politics/comey-case-raises-question-of-who-are-trump-s-next-political-targets/ar-AA1Nsfgs,No title found,,,0,1,0,0
https://www.washingtonexaminer.com/politics,https://www.washingtonexaminer.com/section/news/,News,,2025-09-28T14:57:09-04:00,0,1,3,112
https://www.washingtonexaminer.com/politics,https://www.washingtonexaminer.com/section/news/white-house/,White House,,2025-09-28T14:36:46-04:00,0,1,3,113
