Site,URL,Title,Author,Date,Word Count,Reading Time,Images Count,Links Count
https://www.cnn.com/politics,https://www.cnn.com/2025/09/24/politics/trump-demands-investigation-into-alleged-sabotage-united-nations,Trump demands investigation into alleged ŌĆśtriple sabotageŌĆÖ at the United Nations,Alejandra Jaramillo,2025-09-25T04:37:46.018Z,967,4,3,7
https://www.cnn.com/politics,https://www.cnn.com/2025/09/25/politics/nato-divided-repeated-russian-incursions-response,NATO divided on how to respond to repeated Russian incursions,Natasha Bertrand,2025-09-25T04:22:40.419Z,1352,6,6,6
https://www.cnn.com/politics,https://www.cnn.com/2025/09/24/politics/white-house-mass-firings-government-shut-down,White House budget office threatens mass firings if government shuts down,Adam Cancryn,2025-09-25T02:57:26.036Z,943,4,2,12
https://www.cnn.com/politics,https://www.cnn.com/2025/09/24/politics/trump-epstein-statue-national-park-service-removal,"National Park Service removes Trump-Epstein statue, raising free speech concerns",Emily R. Condon,2025-09-25T02:12:39.611Z,1236,6,43,5
https://www.cnn.com/politics,https://www.cnn.com/2025/09/24/politics/ukraine-trump-putin-pressure,"TrumpвҖҷs new Ukraine stance is meant to pressure Putin, officials say, despite lack of sanctions or military aid",Kevin Liptak,2025-09-25T01:41:05.629Z,852,4,2,5
